checked_at,player_name,transfermarkt_team,position,market_value_eur,mws_name,event_name,labels,current_bid_eur,current_bid_usd,end_date_utc,slug,url
2026-09-19T09:16:58.953497+00:00,El Hadji Malick Diouf,SK Slavia Prague,Left-Back,28000000,El Hadji Malick Diouf,AFC Bournemouth - Brentford,"Worn, Signed",139,160,2026-09-19T14:00:00Z,el-hadji-malick-diouf-ent9pLip90ma9IqtGZRZXw,https://mws.com/us/product/el-hadji-malick-diouf-ent9pLip90ma9IqtGZRZXw
2026-09-19T09:16:58.953497+00:00,Paul Wanner,1.FC Heidenheim 1846,Attacking Midfield,18000000,Paul Wanner,PSV - Sparta Rotterdam,"Worn, Signed",220,253,2026-09-19T14:30:00Z,paul-wanner-Et--DnZ9b0C9iPMd9Lt1aQ,https://mws.com/us/product/paul-wanner-Et--DnZ9b0C9iPMd9Lt1aQ
2026-09-19T09:16:58.953497+00:00,Zeno Debast,Sporting CP,Centre-Back,30000000,Zeno Debast,Sporting CP - Galatasaray S.K.,"Worn, Signed",332,381,2026-09-19T15:00:00Z,zeno-debast-KQz1LbAQH0GtrJqjkFn1lQ,https://mws.com/us/product/zeno-debast-KQz1LbAQH0GtrJqjkFn1lQ
2026-09-19T09:16:58.953497+00:00,Estêvão,Sociedade Esportiva Palmeiras,Right Winger,80000000,Estêvão,Chelsea - Leeds United,"Worn, Signed",1342,1542,2026-09-19T18:00:00Z,estevao-EE2HnliVb0CF1DCJ8U_0zg,https://mws.com/us/product/estevao-EE2HnliVb0CF1DCJ8U_0zg
2026-09-19T09:16:58.953497+00:00,Jamie Gittens,Borussia Dortmund,Left Winger,50000000,Jamie Gittens,Chelsea - Leeds United,"Worn, Signed",277,318,2026-09-19T18:00:00Z,jamie-gittens-ySOCbzD0UUyVVqeuMz7OmQ,https://mws.com/us/product/jamie-gittens-ySOCbzD0UUyVVqeuMz7OmQ
2026-09-19T09:16:58.953497+00:00,Levi Colwill,Chelsea FC,Centre-Back,55000000,Levi Colwill,Chelsea - Leeds United,"Worn, Signed",263,302,2026-09-19T18:00:00Z,levi-colwill-Esryz5aGsUm45JZ9fc8bJg,https://mws.com/us/product/levi-colwill-Esryz5aGsUm45JZ9fc8bJg
2026-09-19T09:16:58.953497+00:00,Malo Gusto,Chelsea FC,Right-Back,35000000,Malo Gusto,Chelsea - Leeds United,"Worn, Signed",376,432,2026-09-19T18:00:00Z,malo-gusto-CpRto501r0mfeWArxmyxLQ,https://mws.com/us/product/malo-gusto-CpRto501r0mfeWArxmyxLQ
2026-09-19T09:16:58.953497+00:00,Valentín Barco,RC Strasbourg Alsace,Central Midfield,25000000,Valentín Barco,Chelsea - Leeds United,"Issued, Signed",457,528,2026-09-19T18:00:00Z,valentin-barco-rv8h-4VilUypKS8EWvj3Mw-41,https://mws.com/us/product/valentin-barco-rv8h-4VilUypKS8EWvj3Mw-41
2026-09-19T09:16:58.953497+00:00,Arthur Vermeeren,RB Leipzig,Defensive Midfield,28000000,Arthur Vermeeren,Club Brugge - Royal Antwerp FC,"Worn, Signed",215,249,2026-09-20T11:30:00Z,arthur-vermeeren-xOifgLikeki4iCjaFQ9-2Q,https://mws.com/us/product/arthur-vermeeren-xOifgLikeki4iCjaFQ9-2Q
2026-09-19T09:16:58.953497+00:00,Davide Bartesaghi,AC Milan,Left-Back,18000000,Davide Bartesaghi,SS Lazio - AC Milan,Issued,166,191,2026-09-21T16:00:00Z,davide-bartesaghi-OmlPRjhnRk-UJUp24kQuLQ,https://mws.com/us/product/davide-bartesaghi-OmlPRjhnRk-UJUp24kQuLQ
2026-09-19T09:16:58.953497+00:00,Diego Moreira,RC Strasbourg Alsace,Left Midfield,18000000,Diego Moreira,SS Lazio - AC Milan,Issued,378,436,2026-09-21T16:00:00Z,diego-moreira-a96GIPK000CcpslZVTXzqQ,https://mws.com/us/product/diego-moreira-a96GIPK000CcpslZVTXzqQ
