checked_at,player_name,transfermarkt_team,position,market_value_eur,mws_name,event_name,labels,current_bid_eur,current_bid_usd,end_date_utc,slug,url
2026-09-19T09:19:04.242591+00:00,Paul Wanner,1.FC Heidenheim 1846,Attacking Midfield,18000000,Paul Wanner,PSV - Sparta Rotterdam,"Worn, Signed",220,253,2026-09-19T14:30:00Z,paul-wanner-Et--DnZ9b0C9iPMd9Lt1aQ,https://mws.com/us/product/paul-wanner-Et--DnZ9b0C9iPMd9Lt1aQ
2026-09-19T09:19:04.242591+00:00,Luís Guilherme,West Ham United,Right Winger,18000000,Luís Guilherme,Sporting CP - Galatasaray S.K.,"Worn, Signed",169,196,2026-09-19T15:00:00Z,luis-guilherme-mz9amE7wPkacSM5qct5-PA,https://mws.com/us/product/luis-guilherme-mz9amE7wPkacSM5qct5-PA
2026-09-19T09:19:04.242591+00:00,Estêvão,Sociedade Esportiva Palmeiras,Right Winger,80000000,Estêvão,Chelsea - Leeds United,"Worn, Signed",1342,1542,2026-09-19T18:00:00Z,estevao-EE2HnliVb0CF1DCJ8U_0zg,https://mws.com/us/product/estevao-EE2HnliVb0CF1DCJ8U_0zg
2026-09-19T09:19:04.242591+00:00,Arthur Vermeeren,RB Leipzig,Defensive Midfield,28000000,Arthur Vermeeren,Club Brugge - Royal Antwerp FC,"Worn, Signed",215,249,2026-09-20T11:30:00Z,arthur-vermeeren-xOifgLikeki4iCjaFQ9-2Q,https://mws.com/us/product/arthur-vermeeren-xOifgLikeki4iCjaFQ9-2Q
2026-09-19T09:19:04.242591+00:00,Jan Virgili,FC Barcelona Atlètic,Left Winger,12000000,Jan Virgili,Club Brugge - Royal Antwerp FC,"Worn, Signed",285,331,2026-09-20T11:30:00Z,jan-virgili-OHpGeWEnGkGb2bSGVfirSQ,https://mws.com/us/product/jan-virgili-OHpGeWEnGkGb2bSGVfirSQ
2026-09-19T09:19:04.242591+00:00,Joaquin Seys,Club Brugge KV,Left-Back,15000000,Joaquin Seys,Club Brugge - Royal Antwerp FC,"Worn, Signed",180,207,2026-09-20T11:30:00Z,joaquin-seys-q_IZt1sxcE-aQXx9x4xCWg,https://mws.com/us/product/joaquin-seys-q_IZt1sxcE-aQXx9x4xCWg
2026-09-19T09:19:04.242591+00:00,Davide Bartesaghi,AC Milan,Left-Back,18000000,Davide Bartesaghi,SS Lazio - AC Milan,Issued,166,191,2026-09-21T16:00:00Z,davide-bartesaghi-OmlPRjhnRk-UJUp24kQuLQ,https://mws.com/us/product/davide-bartesaghi-OmlPRjhnRk-UJUp24kQuLQ
2026-09-19T09:19:04.242591+00:00,Francesco Camarda,AC Milan,Centre-Forward,15000000,Francesco Camarda,SS Lazio - AC Milan,Issued,245,282,2026-09-21T16:00:00Z,francesco-camarda-oZOUeOCeGUCMd2kFZeSvIw,https://mws.com/us/product/francesco-camarda-oZOUeOCeGUCMd2kFZeSvIw
2026-09-19T09:19:04.242591+00:00,Désiré Doué,Paris Saint-Germain,Right Winger,90000000,Désiré Doué,Stade Brestois 29 - Paris Saint-Germain,"Issued, Signed",372,427,2026-09-22T14:00:00Z,desire-doue-b0vFiS8ieE2Pi2WUMCYciA,https://mws.com/us/product/desire-doue-b0vFiS8ieE2Pi2WUMCYciA
2026-09-19T09:19:04.242591+00:00,Mika Godts,Ajax Amsterdam,Left Winger,15000000,Mika Godts,Stade Brestois 29 - Paris Saint-Germain,"Worn, Signed",372,427,2026-09-22T14:00:00Z,mika-godts-iAX0Ls_T9USfk43bC7_flA,https://mws.com/us/product/mika-godts-iAX0Ls_T9USfk43bC7_flA
2026-09-19T09:19:04.242591+00:00,Warren Zaïre-Emery,Paris Saint-Germain,Central Midfield,55000000,Warren Zaïre-Emery,Stade Brestois 29 - Paris Saint-Germain,"Worn, Signed",621,713,2026-09-22T14:00:00Z,warren-zaire-emery-aYuKfMuQpUCAmN2dVX-p6Q,https://mws.com/us/product/warren-zaire-emery-aYuKfMuQpUCAmN2dVX-p6Q
2026-09-19T09:19:04.242591+00:00,Vasilije Adžić,Juventus FC,Attacking Midfield,8000000,Vasilije Adžić,Sassuolo Calcio - Juventus FC,"Worn, Signed",220,255,2026-09-22T16:00:00Z,vasilije-adzic-DXaofyhTvkqqvAzB-K89Cw,https://mws.com/us/product/vasilije-adzic-DXaofyhTvkqqvAzB-K89Cw
2026-09-19T09:19:04.242591+00:00,Franco Mastantuono,CA River Plate,Right Winger,50000000,Franco Mastantuono,Venezia FC - ACF Fiorentina,"Worn, Signed",2451,2815,2026-09-22T16:30:00Z,franco-mastantuono-sUDXceaFT0Ca5yg9Xs_70w,https://mws.com/us/product/franco-mastantuono-sUDXceaFT0Ca5yg9Xs_70w
2026-09-19T09:19:04.242591+00:00,Khalis Merah,Olympique Lyon U19,Central Midfield,8000000,Khalis Merah,Paris FC - Olympique Lyonnais,"Issued, Signed",145,169,2026-09-22T18:00:00Z,khalis-merah-3fHq74W5zk63v4_n2pOcrQ,https://mws.com/us/product/khalis-merah-3fHq74W5zk63v4_n2pOcrQ
2026-09-19T09:19:04.242591+00:00,Noah Nartey,Bröndby IF,Attacking Midfield,8000000,Noah Nartey,Paris FC - Olympique Lyonnais,"Issued, Signed",145,168,2026-09-22T18:00:00Z,noah-nartey-5DEFmesLzk6LcCJOKSJk6w,https://mws.com/us/product/noah-nartey-5DEFmesLzk6LcCJOKSJk6w
2026-09-19T09:19:04.242591+00:00,Martim Fernandes,FC Porto,Right-Back,12000000,Martim Fernandes,Casa Pia AC - FC Porto,"Worn, Signed",121,140,2026-09-23T00:00:00Z,martim-fernandes-WHhazRIbiUan1p9Cq-UK2Q,https://mws.com/us/product/martim-fernandes-WHhazRIbiUan1p9Cq-UK2Q
