Nume,Echipă,Post,M.V. (EUR),Vârstă,Țara campionatului,Competiție,Profil Transfermarkt,Lista sursă
Andrei Rațiu,Rayo Vallecano,Fundaș dreapta,18000000,28,Spania,LaLiga,https://www.transfermarkt.com/andrei-ratiu/profil/spieler/527966,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157
Radu Drăgușin,ACF Fiorentina,Fundaș central,16000000,24,Italia,Serie A,https://www.transfermarkt.com/radu-dragusin/profil/spieler/568559,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75
Dennis Man,PSV Eindhoven,Extremă dreapta,15000000,28,Țările de Jos,Eredivisie,https://www.transfermarkt.com/dennis-man/profil/spieler/397486,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/122
Ionuț Radu,Celta de Vigo,Portar,9000000,29,Spania,LaLiga,https://www.transfermarkt.com/ionut-radu/profil/spieler/303657,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157
Daniel Bîrligea,Frosinone Calcio,Atacant central,4500000,26,Italia,Serie A,https://www.transfermarkt.com/daniel-birligea/profil/spieler/468192,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75
Darius Olaru,Union Saint-Gilloise,Mijlocaș ofensiv,4500000,28,Belgia,Jupiler Pro League,https://www.transfermarkt.com/darius-olaru/profil/spieler/395800,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/19
Răzvan Marin,AEK Athens,Mijlocaș central,4000000,30,Grecia,Super League 1,https://www.transfermarkt.com/razvan-marin/profil/spieler/295183,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/56
Adrian Șut,Levadiakos,Mijlocaș defensiv,3500000,27,Grecia,Super League 1,https://www.transfermarkt.com/adrian-sut/profil/spieler/433979,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/56
Valentin Mihăilă,Caykur Rizespor,Extremă stânga,3500000,26,Turcia,Süper Lig,https://www.transfermarkt.com/valentin-mihaila/profil/spieler/535469,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/174
Andrei Borza,Corum FK,Fundaș stânga,2500000,20,Turcia,Süper Lig,https://www.transfermarkt.com/andrei-borza/profil/spieler/723826,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/174
Bogdan Racovițan,Raków Częstochowa,Fundaș central,2500000,26,Polonia,PKO BP Ekstraklasa,https://www.transfermarkt.com/bogdan-racovitan/profil/spieler/804134,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/135
Matei Ilie,Kasimpasa,Fundaș central,2500000,23,Turcia,Süper Lig,https://www.transfermarkt.com/matei-ilie/profil/spieler/615930,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/174
Vlad Dragomir,Pafos FC,Mijlocaș ofensiv,2200000,27,Cipru,Cyprus League,https://www.transfermarkt.com/vlad-dragomir/profil/spieler/319213,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/188
Otto Hindrich,Legia Warszawa,Portar,2000000,24,Polonia,PKO BP Ekstraklasa,https://www.transfermarkt.com/otto-hindrich/profil/spieler/744075,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/135
Tony Strata,Vitória Guimarães SC,Fundaș dreapta,2000000,21,Portugalia,Liga Portugal,https://www.transfermarkt.com/tony-strata/profil/spieler/1004681,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/136
Virgil Ghiță,Hannover 96,Fundaș central,2000000,28,Germania,2. Bundesliga,https://www.transfermarkt.com/virgil-ghita/profil/spieler/340977,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40
Florin Tănase,Omonia Nicosia,Mijlocaș ofensiv,1800000,31,Cipru,Cyprus League,https://www.transfermarkt.com/florin-tanase/profil/spieler/314329,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/188
Horațiu Moldovan,Eyüpspor,Portar,1800000,28,Turcia,Süper Lig,https://www.transfermarkt.com/horatiu-moldovan/profil/spieler/525438,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/174
Ianis Hagi,Alanyaspor,Mijlocaș ofensiv,1800000,27,Turcia,Süper Lig,https://www.transfermarkt.com/ianis-hagi/profil/spieler/282076,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/174
Deian Sorescu,Gaziantep FK,Fundaș dreapta,1500000,29,Turcia,Süper Lig,https://www.transfermarkt.com/deian-sorescu/profil/spieler/379209,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/174
Ianis Stoica,CF Estrela Amadora,Extremă stânga,1500000,23,Portugalia,Liga Portugal,https://www.transfermarkt.com/ianis-stoica/profil/spieler/547754,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/136
Ionuț Nedelcearu,Akron Tolyatti,Fundaș central,1500000,30,Rusia,Premier Liga,https://www.transfermarkt.com/ionut-nedelcearu/profil/spieler/274694,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/141
Lisav Naif Eissat,Bristol City,Fundaș central,1400000,21,Anglia,Championship,https://www.transfermarkt.com/lisav-naif-eissat/profil/spieler/1057319,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/189
Andrei Coubiș,Lincoln City,Fundaș central,1200000,22,Anglia,Championship,https://www.transfermarkt.com/andrei-coubis/profil/spieler/692349,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/189
Marius Corbu,Ferencvárosi TC,Mijlocaș ofensiv,1200000,24,Ungaria,Nemzeti Bajnokság,https://www.transfermarkt.com/marius-corbu/profil/spieler/731431,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/178
Rareș Ilie,Mantova 1911,Mijlocaș ofensiv,1200000,23,Italia,Serie B,https://www.transfermarkt.com/rares-ilie/profil/spieler/812654,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75
Ioan Vermeșan,Hellas Verona,Atacant central,1000000,19,Italia,Serie B,https://www.transfermarkt.com/ioan-vermesan/profil/spieler/928037,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75
Mihai Popa,Motor Lublin,Portar,1000000,25,Polonia,PKO BP Ekstraklasa,https://www.transfermarkt.com/mihai-popa/profil/spieler/623412,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/135
Vladislav Blănuță,Lechia Gdansk,Atacant central,1000000,24,Polonia,Betclic 1 Liga,https://www.transfermarkt.com/vladislav-blanuta/profil/spieler/706166,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/135
Enes Sali,FC Andorra,Extremă stânga,900000,20,Andorra,LaLiga2,https://www.transfermarkt.com/enes-sali/profil/spieler/875252,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/5
Valentin Costache,FC Noah Yerevan,Mijlocaș dreapta,900000,28,Armenia,Premier League,https://www.transfermarkt.com/valentin-costache/profil/spieler/341391,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/10
