rank,name,team,position,market_value_eur,age,source_url,list_source_url
1,Lamine Yamal,FC Barcelona,Right Winger,200000000,17,https://www.transfermarkt.com/lamine-yamal/profil/spieler/937958,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
2,Arda Güler,Real Madrid,Attacking Midfield,90000000,19,https://www.transfermarkt.com/arda-guler/profil/spieler/861410,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
3,Désiré Doué,Paris Saint-Germain,Right Winger,90000000,19,https://www.transfermarkt.com/desire-doue/profil/spieler/914562,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
4,Pau Cubarsí,FC Barcelona,Centre-Back,80000000,17,https://www.transfermarkt.com/pau-cubarsi/profil/spieler/962110,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
5,Estêvão,Sociedade Esportiva Palmeiras,Right Winger,80000000,17,https://www.transfermarkt.com/estevao/profil/spieler/1056993,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
6,Kenan Yıldız,Juventus FC,Left Winger,75000000,19,https://www.transfermarkt.com/kenan-yildiz/profil/spieler/845654,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
7,Dean Huijsen,AFC Bournemouth,Centre-Back,70000000,19,https://www.transfermarkt.com/dean-huijsen/profil/spieler/890290,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
8,Lennart Karl,Bayern Munich,Attacking Midfield,60000000,16,https://www.transfermarkt.com/lennart-karl/profil/spieler/1075147,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
9,Warren Zaïre-Emery,Paris Saint-Germain,Central Midfield,55000000,18,https://www.transfermarkt.com/warren-zaire-emery/profil/spieler/810092,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
10,Ethan Nwaneri,Arsenal FC,Attacking Midfield,55000000,17,https://www.transfermarkt.com/ethan-nwaneri/profil/spieler/890719,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
11,Leny Yoro,Manchester United,Centre-Back,55000000,19,https://www.transfermarkt.com/leny-yoro/profil/spieler/923831,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
12,Kobbie Mainoo,Manchester United,Central Midfield,50000000,19,https://www.transfermarkt.com/kobbie-mainoo/profil/spieler/820374,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
13,Franco Mastantuono,CA River Plate,Right Winger,50000000,17,https://www.transfermarkt.com/franco-mastantuono/profil/spieler/1057316,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
14,Can Uzun,Eintracht Frankfurt,Attacking Midfield,45000000,19,https://www.transfermarkt.com/can-uzun/profil/spieler/816585,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
15,Myles Lewis-Skelly,Arsenal FC,Left-Back,45000000,18,https://www.transfermarkt.com/myles-lewis-skelly/profil/spieler/890721,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
16,Geovany Quenda,Sporting CP,Right Winger,45000000,17,https://www.transfermarkt.com/geovany-quenda/profil/spieler/1138758,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
17,Yan Diomande,CD Leganés,Right Winger,45000000,18,https://www.transfermarkt.com/yan-diomande/profil/spieler/1390649,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
18,Nico O'Reilly,Manchester City,Left-Back,40000000,19,https://www.transfermarkt.com/nico-oreilly/profil/spieler/743413,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
19,Mathys Tel,Tottenham Hotspur,Left Winger,40000000,19,https://www.transfermarkt.com/mathys-tel/profil/spieler/801734,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
20,Tom Bischof,TSG 1899 Hoffenheim,Central Midfield,40000000,19,https://www.transfermarkt.com/tom-bischof/profil/spieler/822959,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
21,Lucas Bergvall,Tottenham Hotspur,Central Midfield,40000000,18,https://www.transfermarkt.com/lucas-bergvall/profil/spieler/866246,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop/plus/0/galerie/0?ausrichtung=alle&spielerposition_id=alle&altersklasse=u21&jahrgang=0&land_id=0&kontinent_id=0&jahr=2025&yt0=show&page=1
