checked_at,player_name,transfermarkt_team,position,market_value_eur,mws_name,event_name,labels,current_bid_eur,current_bid_usd,end_date_utc,slug,url
2026-09-06T20:58:48.705844+00:00,Tom Bischof,TSG 1899 Hoffenheim,Central Midfield,40000000,Tom Bischof,Borussia Dortmund - FC Bayern München,"Worn, Signed",850,989,2026-09-08T14:00:00Z,tom-bischof-O6QPnyxF7kiGWXjSAfhlPA,https://mws.com/us/product/tom-bischof-O6QPnyxF7kiGWXjSAfhlPA
2026-09-06T20:58:48.705844+00:00,Sindre Walle Egeli,FC Nordsjaelland,Right Winger,20000000,Sindre Walle Egeli,Manchester United - Ipswich Town,"Issued, Signed",116,135,2026-09-09T15:30:00Z,sindre-walle-egeli-phU7wnfB70uPBDEZ-9WdGA,https://mws.com/us/product/sindre-walle-egeli-phU7wnfB70uPBDEZ-9WdGA
2026-09-06T20:58:48.705844+00:00,Christ Inao Oulaï,SC Bastia,Central Midfield,8000000,Christ Inao Oulaï,ACF Fiorentina - Frosinone,"Issued, Signed",311,362,2026-09-09T16:30:00Z,christ-ravynel-inao-oulai-DzIWrkz8BEaI-Xs_2qnEWA-87,https://mws.com/us/product/christ-ravynel-inao-oulai-DzIWrkz8BEaI-Xs_2qnEWA-87
2026-09-06T20:58:48.705844+00:00,Franco Mastantuono,CA River Plate,Right Winger,50000000,Franco Mastantuono,ACF Fiorentina - Frosinone,"Issued, Signed",453,527,2026-09-09T16:30:00Z,franco-mastantuono-2jiHSJh-GEmiPbVjXoYxbQ-43,https://mws.com/us/product/franco-mastantuono-2jiHSJh-GEmiPbVjXoYxbQ-43
2026-09-06T20:58:48.705844+00:00,Jorrel Hato,Ajax Amsterdam,Left-Back,40000000,Jorrel Hato,Chelsea - Brighton & Hove Albion,"Worn, Signed",230,267,2026-09-09T17:00:00Z,jorrel-hato-3VqyB22CdEGNhsEXhPkrSg,https://mws.com/us/product/jorrel-hato-3VqyB22CdEGNhsEXhPkrSg
2026-09-06T20:58:48.705844+00:00,Vasilije Kostov,Red Star Belgrade,Attacking Midfield,10000000,Vasilije Kostov,Viktoria Plzeň - FK Crvena zvezda,"Worn, Signed",112,131,2026-09-09T17:30:00Z,vasilije-kostov-RwGHxNxr0U2iHmVrldJkAA,https://mws.com/us/product/vasilije-kostov-RwGHxNxr0U2iHmVrldJkAA
2026-09-06T20:58:48.705844+00:00,Martim Fernandes,FC Porto,Right-Back,12000000,Martim Fernandes ,Académico - FC Porto,"Worn, Signed",130,152,2026-09-10T18:00:00Z,martim-fernandes-DysXzEw6tE2aWtvuxwBhdw,https://mws.com/us/product/martim-fernandes-DysXzEw6tE2aWtvuxwBhdw
2026-09-06T20:58:48.705844+00:00,Victor Froholdt,FC Copenhagen,Central Midfield,30000000,Victor Froholdt,Académico - FC Porto,"Worn, Signed",284,330,2026-09-10T18:00:00Z,victor-froholdt-EIRBriy38k28sCZ4ooDHmQ,https://mws.com/us/product/victor-froholdt-EIRBriy38k28sCZ4ooDHmQ
2026-09-06T20:58:48.705844+00:00,William Gomes,FC Porto,Right Winger,20000000,William Gomes,Académico - FC Porto,"Worn, Signed",199,231,2026-09-10T18:00:00Z,william-gomes-jrX5IBPIq0GpGPHj7aTZUA,https://mws.com/us/product/william-gomes-jrX5IBPIq0GpGPHj7aTZUA
2026-09-06T20:58:48.705844+00:00,Dro Fernández,FC Barcelona UEFA U19,Attacking Midfield,10000000,Dro Fernández,LOSC Lille - Paris Saint-Germain,"Worn, Signed",369,429,2026-09-11T14:00:00Z,dro-fernandez-RkjV1HDdQE-xztX6jdFtQQ,https://mws.com/us/product/dro-fernandez-RkjV1HDdQE-xztX6jdFtQQ
